,name,SLOW,SMEDIUM,SHIGH,RSLOW,RMEDIUM,RHIGH,RVERY_HIGH,Areas of architectural interest,Cableway,Exposition Centers,Leisure Spaces,Museums and Collections,Natural spaces,Archaeological museum,Art museum,Basilica,Castle,City park,Cultural center,Ethnographic museum,Exhibition and trade centre,Heritage museum,Hiking area,Historical landmark,History museum,Local history museum,Maritime museum,Modern art museum,Museum,National park,Natural history museum,Nature preserve,Palace,Park,Rail museum,Tourist information center,Transportation service,Zoo
0,MONTJUÏC CASTLE,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,COSMOCAIXA BARCELONA,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,MUSEU NACIONAL D'ART DE CATALUNYA,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CENTRE DE CULTURA CONTEMPORÀNIA DE BARCELONA,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,PARC DEL LABERINT D'HORTA,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,TELEFÈRIC DE MONTJUÏC (BARCELONA CABLE CAR),1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,RECINTE MODERNISTA DE SANT PAU,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,EL BORN CENTRE DE CULTURA I MEMÒRIA,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,MUSEU FREDERIC MARÈS,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,PICASSO MUSEUM,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,MUSEU ETNOLÒGIC I DE CULTURES DEL MÓN,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,BARCELONA ZOO,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,MUSEU OLÍMPIC I DE L'ESPORT JOAN ANTONI SAMARANCH,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,CAIXAFORUM BARCELONA,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,BARCELONA MUSEUM OF CONTEMPORARY ART,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,FUNDACIÓ ANTONI TÀPIES,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,SANTA MÒNICA,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
